customer_id,total_spend,spend_tier,average_customer_spend
1846.0,17773.23,High,10975.37
1404.0,17600.11,High,10975.37
3969.0,17572.74,High,10975.37
3727.0,17473.1,High,10975.37
4900.0,17367.41,High,10975.37
4184.0,17304.0,High,10975.37
3845.0,17287.19,High,10975.37
1962.0,17213.0,High,10975.37
1343.0,17028.26,High,10975.37
3378.0,16938.89,High,10975.37
1169.0,16918.8,High,10975.37
283.0,16879.78,High,10975.37
3680.0,16806.78,High,10975.37
559.0,16736.51,High,10975.37
4915.0,16714.4,High,10975.37
2636.0,16667.04,High,10975.37
3424.0,16619.6,High,10975.37
3756.0,16388.45,High,10975.37
2771.0,16382.08,High,10975.37
2804.0,16349.96,High,10975.37
2360.0,16331.14,High,10975.37
4337.0,16323.43,High,10975.37
3865.0,16312.48,High,10975.37
3695.0,16268.35,High,10975.37
2895.0,16219.42,High,10975.37
1966.0,16205.73,High,10975.37
467.0,16188.26,High,10975.37
4227.0,16182.67,High,10975.37
2923.0,16157.08,High,10975.37
249.0,16105.09,High,10975.37
702.0,16090.01,High,10975.37
4316.0,16060.85,High,10975.37
4078.0,16060.36,High,10975.37
1852.0,16047.01,High,10975.37
4510.0,16042.56,High,10975.37
267.0,16013.61,High,10975.37
4524.0,15986.84,High,10975.37
701.0,15920.34,High,10975.37
4377.0,15916.86,High,10975.37
2166.0,15863.14,High,10975.37
3285.0,15854.24,High,10975.37
1867.0,15852.97,High,10975.37
4742.0,15848.91,High,10975.37
1824.0,15845.7,High,10975.37
4396.0,15843.1,High,10975.37
3469.0,15778.61,High,10975.37
3317.0,15765.69,High,10975.37
455.0,15765.21,High,10975.37
3678.0,15752.47,High,10975.37
3873.0,15750.2,High,10975.37
509.0,15699.42,High,10975.37
3470.0,15697.79,High,10975.37
3272.0,15681.68,High,10975.37
4345.0,15657.52,High,10975.37
2308.0,15657.25,High,10975.37
705.0,15641.62,High,10975.37
3794.0,15638.46,High,10975.37
2612.0,15572.92,High,10975.37
132.0,15552.86,High,10975.37
414.0,15521.86,High,10975.37
2217.0,15487.81,High,10975.37
348.0,15483.89,High,10975.37
2124.0,15471.59,High,10975.37
3544.0,15464.03,High,10975.37
4356.0,15462.83,High,10975.37
4840.0,15461.05,High,10975.37
66.0,15436.67,High,10975.37
3084.0,15430.33,High,10975.37
1324.0,15427.23,High,10975.37
4689.0,15412.68,High,10975.37
250.0,15411.92,High,10975.37
3857.0,15403.87,High,10975.37
4604.0,15403.41,High,10975.37
4869.0,15394.96,High,10975.37
2461.0,15379.69,High,10975.37
3856.0,15379.17,High,10975.37
2425.0,15368.12,High,10975.37
224.0,15346.52,High,10975.37
3536.0,15334.55,High,10975.37
2273.0,15311.14,High,10975.37
2625.0,15294.43,High,10975.37
3172.0,15293.94,High,10975.37
1869.0,15288.37,High,10975.37
394.0,15281.79,High,10975.37
4079.0,15268.06,High,10975.37
3403.0,15249.89,High,10975.37
4248.0,15242.07,High,10975.37
3591.0,15241.01,High,10975.37
4442.0,15235.07,High,10975.37
724.0,15222.07,High,10975.37
4221.0,15186.93,High,10975.37
4969.0,15140.37,High,10975.37
4723.0,15133.5,High,10975.37
3208.0,15124.35,High,10975.37
526.0,15121.97,High,10975.37
4178.0,15107.12,High,10975.37
2834.0,15098.13,High,10975.37
4250.0,15097.09,High,10975.37
1462.0,15068.79,High,10975.37
655.0,15068.55,High,10975.37
4094.0,15053.85,High,10975.37
1888.0,15041.45,High,10975.37
4587.0,15041.2,High,10975.37
1575.0,15027.38,High,10975.37
3151.0,15019.73,High,10975.37
4481.0,15018.73,High,10975.37
2245.0,15012.74,High,10975.37
2977.0,14996.11,High,10975.37
4769.0,14987.09,High,10975.37
4955.0,14984.97,High,10975.37
1173.0,14972.03,High,10975.37
1974.0,14969.89,High,10975.37
369.0,14962.93,High,10975.37
3415.0,14940.58,High,10975.37
3718.0,14934.8,High,10975.37
1256.0,14928.41,High,10975.37
3705.0,14927.66,High,10975.37
3782.0,14911.92,High,10975.37
4512.0,14909.48,High,10975.37
4014.0,14891.46,High,10975.37
716.0,14888.54,High,10975.37
884.0,14884.05,High,10975.37
2574.0,14873.27,High,10975.37
404.0,14835.28,High,10975.37
1074.0,14818.98,High,10975.37
4890.0,14818.41,High,10975.37
3676.0,14817.62,High,10975.37
1648.0,14816.05,High,10975.37
4546.0,14811.38,High,10975.37
34.0,14792.32,High,10975.37
1638.0,14789.18,High,10975.37
1545.0,14767.75,High,10975.37
2578.0,14766.85,High,10975.37
4.0,14759.84,High,10975.37
4563.0,14752.54,High,10975.37
1688.0,14751.92,High,10975.37
243.0,14744.18,High,10975.37
2807.0,14740.65,High,10975.37
2591.0,14735.63,High,10975.37
4949.0,14730.64,High,10975.37
4725.0,14729.37,High,10975.37
211.0,14728.24,High,10975.37
2420.0,14727.24,High,10975.37
456.0,14721.12,High,10975.37
1104.0,14715.05,High,10975.37
3972.0,14702.64,High,10975.37
1642.0,14701.2,High,10975.37
2183.0,14700.17,High,10975.37
1327.0,14695.8,High,10975.37
1535.0,14675.88,High,10975.37
4263.0,14675.3,High,10975.37
743.0,14671.82,High,10975.37
2110.0,14661.73,High,10975.37
3448.0,14661.04,High,10975.37
4684.0,14655.35,High,10975.37
273.0,14655.14,High,10975.37
2568.0,14655.1,High,10975.37
1102.0,14635.82,High,10975.37
2161.0,14630.14,High,10975.37
4233.0,14620.87,High,10975.37
656.0,14620.44,High,10975.37
1777.0,14620.37,High,10975.37
2758.0,14612.93,High,10975.37
2717.0,14608.95,High,10975.37
3875.0,14607.82,High,10975.37
372.0,14606.25,High,10975.37
2604.0,14601.83,High,10975.37
1290.0,14594.05,High,10975.37
4632.0,14588.12,High,10975.37
1096.0,14587.29,High,10975.37
2832.0,14583.62,High,10975.37
341.0,14578.55,High,10975.37
2975.0,14574.24,High,10975.37
301.0,14571.12,High,10975.37
4245.0,14570.44,High,10975.37
4402.0,14561.23,High,10975.37
4560.0,14527.12,High,10975.37
983.0,14522.61,High,10975.37
2277.0,14516.66,High,10975.37
3430.0,14515.66,High,10975.37
2740.0,14492.77,High,10975.37
2267.0,14490.65,High,10975.37
4691.0,14489.98,High,10975.37
791.0,14489.33,High,10975.37
4875.0,14476.32,High,10975.37
870.0,14466.75,High,10975.37
4371.0,14464.13,High,10975.37
807.0,14460.48,High,10975.37
1111.0,14458.58,High,10975.37
2971.0,14452.74,High,10975.37
337.0,14451.88,High,10975.37
1585.0,14449.17,High,10975.37
540.0,14441.31,High,10975.37
2328.0,14430.31,High,10975.37
4495.0,14428.38,High,10975.37
3435.0,14422.5,High,10975.37
2147.0,14422.24,High,10975.37
1996.0,14421.88,High,10975.37
2149.0,14421.21,High,10975.37
3564.0,14417.25,High,10975.37
1372.0,14414.18,High,10975.37
590.0,14411.05,High,10975.37
2432.0,14408.65,High,10975.37
3560.0,14407.78,High,10975.37
2261.0,14404.51,High,10975.37
1914.0,14398.51,High,10975.37
356.0,14396.78,High,10975.37
1037.0,14396.42,High,10975.37
1948.0,14396.08,High,10975.37
1348.0,14395.29,High,10975.37
1223.0,14385.47,High,10975.37
1333.0,14382.84,High,10975.37
4308.0,14372.0,High,10975.37
2015.0,14371.41,High,10975.37
1387.0,14369.45,High,10975.37
1982.0,14363.58,High,10975.37
2437.0,14357.53,High,10975.37
1090.0,14355.43,High,10975.37
1843.0,14350.94,High,10975.37
3385.0,14348.92,High,10975.37
1692.0,14343.47,High,10975.37
4968.0,14340.71,High,10975.37
1825.0,14330.98,High,10975.37
3913.0,14327.21,High,10975.37
1728.0,14323.7,High,10975.37
448.0,14323.1,High,10975.37
265.0,14322.81,High,10975.37
1619.0,14321.88,High,10975.37
1477.0,14320.72,High,10975.37
878.0,14317.22,High,10975.37
516.0,14313.88,High,10975.37
3337.0,14311.03,High,10975.37
3362.0,14304.12,High,10975.37
1730.0,14296.25,High,10975.37
2927.0,14292.56,High,10975.37
1538.0,14291.16,High,10975.37
1115.0,14290.39,High,10975.37
3535.0,14288.98,High,10975.37
1748.0,14288.74,High,10975.37
229.0,14283.62,High,10975.37
2342.0,14281.75,High,10975.37
4450.0,14264.2,High,10975.37
4343.0,14256.43,High,10975.37
1883.0,14250.92,High,10975.37
142.0,14249.77,High,10975.37
2350.0,14245.54,High,10975.37
2076.0,14237.7,High,10975.37
3184.0,14234.33,High,10975.37
4731.0,14233.54,High,10975.37
828.0,14228.11,High,10975.37
3331.0,14227.88,High,10975.37
2324.0,14218.54,High,10975.37
1752.0,14209.88,High,10975.37
2783.0,14196.5,High,10975.37
366.0,14195.34,High,10975.37
586.0,14189.21,High,10975.37
3043.0,14188.31,High,10975.37
4212.0,14184.32,High,10975.37
2900.0,14183.75,High,10975.37
2252.0,14183.56,High,10975.37
1604.0,14179.65,High,10975.37
2744.0,14178.85,High,10975.37
357.0,14175.62,High,10975.37
795.0,14171.35,High,10975.37
3495.0,14159.26,High,10975.37
3579.0,14156.52,High,10975.37
3614.0,14155.94,High,10975.37
2359.0,14149.5,High,10975.37
2163.0,14145.41,High,10975.37
3688.0,14144.6,High,10975.37
3402.0,14142.94,High,10975.37
4911.0,14139.61,High,10975.37
2930.0,14138.48,High,10975.37
946.0,14136.52,High,10975.37
1431.0,14132.3,High,10975.37
3801.0,14129.0,High,10975.37
2290.0,14124.39,High,10975.37
4572.0,14123.26,High,10975.37
1061.0,14119.3,High,10975.37
3294.0,14116.53,High,10975.37
2919.0,14109.92,High,10975.37
2030.0,14106.4,High,10975.37
4959.0,14101.77,High,10975.37
4088.0,14097.99,High,10975.37
3506.0,14095.78,High,10975.37
2512.0,14084.09,High,10975.37
4017.0,14082.45,High,10975.37
2812.0,14077.78,High,10975.37
4398.0,14068.83,High,10975.37
1143.0,14066.67,High,10975.37
4811.0,14064.96,High,10975.37
3209.0,14063.01,High,10975.37
4360.0,14056.11,High,10975.37
3407.0,14051.67,High,10975.37
1789.0,14044.86,High,10975.37
492.0,14044.66,High,10975.37
3288.0,14026.9,High,10975.37
2170.0,14025.51,High,10975.37
1393.0,14018.57,High,10975.37
4239.0,14012.73,High,10975.37
1039.0,14009.08,High,10975.37
1957.0,14007.5,High,10975.37
713.0,14003.15,High,10975.37
2774.0,13999.25,High,10975.37
1508.0,13977.25,High,10975.37
3636.0,13971.65,High,10975.37
506.0,13968.13,High,10975.37
3864.0,13967.81,High,10975.37
4645.0,13963.67,High,10975.37
4117.0,13955.3,High,10975.37
245.0,13948.57,High,10975.37
1706.0,13947.82,High,10975.37
190.0,13945.26,High,10975.37
1714.0,13924.74,High,10975.37
4942.0,13922.99,High,10975.37
2438.0,13922.39,High,10975.37
4366.0,13921.31,High,10975.37
1481.0,13919.47,High,10975.37
2344.0,13916.57,High,10975.37
4945.0,13908.69,High,10975.37
4336.0,13904.95,High,10975.37
4994.0,13900.71,High,10975.37
3853.0,13899.86,High,10975.37
1968.0,13894.97,High,10975.37
1812.0,13891.84,High,10975.37
3795.0,13889.46,High,10975.37
4630.0,13888.36,High,10975.37
681.0,13885.48,High,10975.37
601.0,13883.11,High,10975.37
4675.0,13882.71,High,10975.37
2679.0,13879.67,High,10975.37
1679.0,13879.16,High,10975.37
1842.0,13877.5,High,10975.37
1426.0,13876.69,High,10975.37
3077.0,13876.0,High,10975.37
3169.0,13863.88,High,10975.37
2439.0,13861.88,High,10975.37
2968.0,13860.02,High,10975.37
4568.0,13859.71,High,10975.37
3252.0,13854.38,High,10975.37
4562.0,13850.07,High,10975.37
757.0,13848.51,High,10975.37
483.0,13848.3,High,10975.37
2250.0,13846.69,High,10975.37
4567.0,13846.42,High,10975.37
2524.0,13842.48,High,10975.37
1461.0,13839.05,High,10975.37
838.0,13834.42,High,10975.37
3476.0,13829.52,High,10975.37
1878.0,13827.03,High,10975.37
2218.0,13825.95,High,10975.37
3554.0,13820.39,High,10975.37
2925.0,13818.36,High,10975.37
1902.0,13817.8,High,10975.37
1316.0,13817.47,High,10975.37
916.0,13813.21,High,10975.37
3879.0,13813.2,High,10975.37
1591.0,13811.46,High,10975.37
2288.0,13799.28,High,10975.37
3883.0,13795.28,High,10975.37
2386.0,13794.9,High,10975.37
3890.0,13789.85,High,10975.37
386.0,13786.07,High,10975.37
3698.0,13785.51,High,10975.37
4808.0,13779.97,High,10975.37
405.0,13772.84,High,10975.37
3717.0,13770.99,High,10975.37
1936.0,13764.15,High,10975.37
1700.0,13763.23,High,10975.37
1093.0,13754.01,High,10975.37
2318.0,13749.96,High,10975.37
3979.0,13749.43,High,10975.37
3393.0,13742.69,High,10975.37
1583.0,13742.5,High,10975.37
1177.0,13741.53,High,10975.37
2254.0,13740.99,High,10975.37
3668.0,13740.76,High,10975.37
1701.0,13733.02,High,10975.37
2899.0,13725.9,High,10975.37
3760.0,13725.53,High,10975.37
4783.0,13721.83,High,10975.37
890.0,13718.95,High,10975.37
2302.0,13712.6,High,10975.37
4997.0,13704.69,High,10975.37
1537.0,13703.7,High,10975.37
913.0,13701.74,High,10975.37
3981.0,13694.06,High,10975.37
3045.0,13693.96,High,10975.37
4513.0,13691.59,High,10975.37
2351.0,13691.24,High,10975.37
3100.0,13687.45,High,10975.37
3035.0,13685.79,High,10975.37
1616.0,13685.04,High,10975.37
333.0,13683.59,High,10975.37
3640.0,13681.47,High,10975.37
3524.0,13671.62,High,10975.37
4472.0,13670.39,High,10975.37
4103.0,13669.08,High,10975.37
4215.0,13669.05,High,10975.37
652.0,13667.75,High,10975.37
4500.0,13666.46,High,10975.37
359.0,13666.39,High,10975.37
2451.0,13663.06,High,10975.37
130.0,13662.97,High,10975.37
738.0,13658.79,High,10975.37
751.0,13657.75,High,10975.37
2084.0,13651.51,High,10975.37
809.0,13649.75,High,10975.37
4315.0,13645.47,High,10975.37
2609.0,13644.21,High,10975.37
4534.0,13632.77,High,10975.37
117.0,13631.68,High,10975.37
3194.0,13625.53,High,10975.37
319.0,13622.55,High,10975.37
3541.0,13616.77,High,10975.37
227.0,13615.84,High,10975.37
511.0,13611.87,High,10975.37
3016.0,13610.33,High,10975.37
3010.0,13610.24,High,10975.37
1835.0,13606.33,High,10975.37
4657.0,13603.78,High,10975.37
4022.0,13595.4,High,10975.37
2064.0,13591.1,High,10975.37
3164.0,13589.62,High,10975.37
2268.0,13586.51,High,10975.37
4039.0,13578.35,High,10975.37
53.0,13578.32,High,10975.37
4784.0,13577.19,High,10975.37
707.0,13576.85,High,10975.37
1862.0,13572.85,High,10975.37
4557.0,13570.23,High,10975.37
1865.0,13567.95,High,10975.37
4086.0,13563.66,High,10975.37
3.0,13562.01,High,10975.37
1626.0,13559.93,High,10975.37
4112.0,13559.18,High,10975.37
3187.0,13555.05,High,10975.37
3984.0,13546.24,High,10975.37
2114.0,13543.01,High,10975.37
856.0,13537.39,High,10975.37
3165.0,13536.3,High,10975.37
4019.0,13535.06,High,10975.37
3336.0,13533.88,High,10975.37
260.0,13533.59,High,10975.37
4321.0,13533.54,High,10975.37
2349.0,13533.49,High,10975.37
2068.0,13533.07,High,10975.37
