sku_id,latest_month,latest_units,latest_revenue,prior_units,prior_revenue,sku_name,category,unit_change_pct
1154,2025-10-01,56,889.84,110.0,1747.9,Household_Cleaning Supplies_1154,Household,-49.09
1147,2025-10-01,60,1244.4,105.0,2177.7,Snacks_Crackers_1147,Snacks,-42.86
1155,2025-10-01,47,1075.36,81.0,1853.28,Electronics_Mobile Accessories_1155,Electronics,-41.98
1053,2025-10-01,57,664.05,96.0,1118.4,Snacks_Crackers_1053,Snacks,-40.62
1111,2025-10-01,54,678.24,90.0,1130.4,Snacks_Nuts_1111,Snacks,-40.0
1069,2025-10-01,76,2910.8,121.0,4634.3,Grocery_Spices_1069,Grocery,-37.19
1036,2025-10-01,57,5100.36,90.0,8053.2,Electronics_Mobile Accessories_1036,Electronics,-36.67
1199,2025-10-01,75,17241.75,117.0,26897.13,Electronics_Cables_1199,Electronics,-35.9
1019,2025-10-01,61,12923.46,94.0,19914.84,Electronics_Cables_1019,Electronics,-35.11
1082,2025-10-01,76,3394.16,115.0,5135.9,Household_Detergent_1082,Household,-33.91
1016,2025-10-01,67,1302.48,100.0,1944.0,Grocery_Rice_1016,Grocery,-33.0
1162,2025-10-01,58,1531.2,86.0,2270.4,Dairy_Yogurt_1162,Dairy,-32.56
1102,2025-10-01,73,1572.42,107.0,2304.78,Snacks_Biscuits_1102,Snacks,-31.78
1021,2025-10-01,60,1729.8,87.0,2508.21,Grocery_Canned Goods_1021,Grocery,-31.03
1048,2025-10-01,62,859.94,89.0,1234.43,Snacks_Biscuits_1048,Snacks,-30.34
1166,2025-10-01,88,4340.16,126.0,6214.32,Grocery_Spices_1166,Grocery,-30.16
1189,2025-10-01,68,5303.32,97.0,7565.03,Electronics_Batteries_1189,Electronics,-29.9
1074,2025-10-01,81,5076.27,113.0,7081.71,Personal Care_Skincare_1074,Personal Care,-28.32
1165,2025-10-01,75,1297.5,103.0,1781.9,Personal Care_Skincare_1165,Personal Care,-27.18
1063,2025-10-01,62,1005.64,84.0,1362.48,Snacks_Chocolates_1063,Snacks,-26.19
1047,2025-10-01,68,2455.48,92.0,3322.12,Household_Detergent_1047,Household,-26.09
1121,2025-10-01,58,1849.04,78.0,2486.64,Grocery_Rice_1121,Grocery,-25.64
1116,2025-10-01,72,5624.64,95.0,7421.4,Personal Care_Skincare_1116,Personal Care,-24.21
1179,2025-10-01,67,1932.28,88.0,2537.92,Household_Cleaning Supplies_1179,Household,-23.86
1078,2025-10-01,83,14917.59,109.0,19590.57,Electronics_Cables_1078,Electronics,-23.85
