customer_id,last_purchase,recency_days,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_segment
2895.0,2025-09-19,42,95,16219.42,2,3,5,At Risk
3317.0,2025-08-31,61,89,15765.69,2,2,5,At Risk
4.0,2025-09-21,40,86,14759.84,2,1,5,At Risk
2807.0,2025-08-15,77,95,14740.65,2,3,5,At Risk
2758.0,2025-08-25,67,92,14612.93,2,3,5,At Risk
2267.0,2025-09-21,40,92,14490.65,2,3,5,At Risk
1223.0,2025-09-04,57,87,14385.47,2,2,5,At Risk
2927.0,2025-08-04,88,80,14292.56,2,1,5,At Risk
946.0,2025-08-16,76,94,14136.52,2,3,5,At Risk
2919.0,2025-09-05,56,94,14109.92,2,3,5,At Risk
4562.0,2025-09-13,48,91,13850.07,2,3,5,At Risk
757.0,2025-09-13,48,88,13848.51,2,2,5,At Risk
3554.0,2025-08-28,64,89,13820.39,2,2,5,At Risk
916.0,2025-07-07,116,87,13813.21,2,2,5,At Risk
2318.0,2025-08-09,83,93,13749.96,2,3,5,At Risk
913.0,2025-08-16,76,96,13701.74,2,3,5,At Risk
3.0,2025-09-11,50,93,13562.01,2,3,5,At Risk
550.0,2025-09-22,39,95,13475.32,2,3,5,At Risk
2869.0,2025-08-25,67,91,13371.74,2,3,5,At Risk
3513.0,2025-08-25,67,93,13357.32,2,3,5,At Risk
3263.0,2025-08-09,83,95,13337.43,2,3,5,At Risk
4181.0,2025-09-13,48,94,13309.98,2,3,5,At Risk
2934.0,2025-09-15,46,86,13278.35,2,2,5,At Risk
487.0,2025-09-22,39,91,13241.33,2,2,5,At Risk
58.0,2025-08-23,69,93,13234.21,2,3,5,At Risk
3419.0,2025-09-20,41,91,13208.24,2,3,5,At Risk
3189.0,2025-09-12,49,87,13197.49,2,2,5,At Risk
798.0,2025-09-20,41,95,13180.38,2,3,5,At Risk
2982.0,2025-09-22,39,91,13173.63,2,3,5,At Risk
2434.0,2025-08-26,66,94,13140.62,2,3,5,At Risk
3656.0,2025-08-22,70,87,13131.51,2,2,5,At Risk
4367.0,2025-09-10,51,91,13022.73,2,3,5,At Risk
1291.0,2025-09-08,53,96,13014.1,2,3,5,At Risk
2844.0,2025-09-13,48,87,12996.57,2,2,5,At Risk
932.0,2025-09-09,52,96,12993.45,2,3,5,At Risk
4350.0,2025-08-19,73,93,12985.96,2,3,5,At Risk
2088.0,2025-09-18,43,90,12984.16,2,2,5,At Risk
2160.0,2025-08-26,66,92,12910.0,2,3,5,At Risk
675.0,2025-09-18,43,87,12904.82,2,2,5,At Risk
1218.0,2025-08-31,61,95,12904.75,2,3,5,At Risk
3942.0,2025-08-28,64,90,12894.17,2,2,5,At Risk
1266.0,2025-09-22,39,94,12843.61,2,3,5,At Risk
445.0,2025-08-30,62,94,12814.45,2,3,5,At Risk
1611.0,2025-09-13,48,92,12801.32,2,3,5,At Risk
4848.0,2025-09-12,49,89,12780.02,2,2,5,At Risk
1958.0,2025-09-04,57,95,12772.44,2,3,5,At Risk
380.0,2025-09-07,54,81,12771.26,2,1,5,At Risk
1295.0,2025-08-31,61,85,12757.47,2,1,5,At Risk
1297.0,2025-09-01,60,94,12733.44,2,3,5,At Risk
3793.0,2025-09-07,54,88,12709.19,2,2,5,At Risk
4910.0,2025-08-28,64,89,12635.93,2,2,5,At Risk
2444.0,2025-09-15,46,84,12615.02,2,1,5,At Risk
2806.0,2025-08-25,67,94,12590.83,2,3,5,At Risk
336.0,2025-09-18,43,88,12581.82,2,2,5,At Risk
3396.0,2025-09-10,51,95,12557.01,2,3,5,At Risk
419.0,2025-09-17,44,89,12554.16,2,2,5,At Risk
588.0,2025-08-10,82,94,12537.77,2,3,5,At Risk
233.0,2025-08-18,74,90,12492.05,2,2,4,At Risk
876.0,2025-08-31,61,88,12488.1,2,2,4,At Risk
1993.0,2025-08-31,61,89,12455.22,2,2,4,At Risk
1520.0,2025-09-07,54,89,12448.57,2,2,4,At Risk
852.0,2025-08-23,69,85,12448.22,2,1,4,At Risk
4720.0,2025-09-19,42,95,12442.73,2,3,4,At Risk
