cohort_month,activity_month,active_customers,months_since_signup,cohort_customers,retention_pct
2021-01-01,2021-01-01,61,0,99,61.62
2021-01-01,2021-02-01,80,1,99,80.81
2021-01-01,2021-03-01,76,2,99,76.77
2021-01-01,2021-04-01,72,3,99,72.73
2021-01-01,2021-05-01,93,4,99,93.94
2021-01-01,2021-06-01,88,5,99,88.89
2021-01-01,2021-07-01,83,6,99,83.84
2021-01-01,2021-08-01,85,7,99,85.86
2021-01-01,2021-09-01,69,8,99,69.7
2021-01-01,2021-10-01,64,9,99,64.65
2021-01-01,2021-11-01,75,10,99,75.76
2021-01-01,2021-12-01,77,11,99,77.78
2021-01-01,2022-01-01,90,12,99,90.91
2021-01-01,2022-02-01,82,13,99,82.83
2021-01-01,2022-03-01,72,14,99,72.73
2021-01-01,2022-04-01,86,15,99,86.87
2021-01-01,2022-05-01,89,16,99,89.9
2021-01-01,2022-06-01,83,17,99,83.84
2021-01-01,2022-07-01,76,18,99,76.77
2021-01-01,2022-08-01,82,19,99,82.83
2021-01-01,2022-09-01,73,20,99,73.74
2021-01-01,2022-10-01,75,21,99,75.76
2021-01-01,2022-11-01,65,22,99,65.66
2021-01-01,2022-12-01,80,23,99,80.81
2021-01-01,2023-01-01,88,24,99,88.89
2021-01-01,2023-02-01,82,25,99,82.83
2021-01-01,2023-03-01,72,26,99,72.73
2021-01-01,2023-04-01,82,27,99,82.83
2021-01-01,2023-05-01,80,28,99,80.81
2021-01-01,2023-06-01,82,29,99,82.83
2021-01-01,2023-07-01,82,30,99,82.83
2021-01-01,2023-08-01,74,31,99,74.75
2021-01-01,2023-09-01,72,32,99,72.73
2021-01-01,2023-10-01,69,33,99,69.7
2021-01-01,2023-11-01,74,34,99,74.75
2021-01-01,2023-12-01,73,35,99,73.74
2021-01-01,2024-01-01,91,36,99,91.92
2021-01-01,2024-02-01,87,37,99,87.88
2021-01-01,2024-03-01,75,38,99,75.76
2021-01-01,2024-04-01,86,39,99,86.87
2021-01-01,2024-05-01,86,40,99,86.87
2021-01-01,2024-06-01,81,41,99,81.82
2021-01-01,2024-07-01,81,42,99,81.82
2021-01-01,2024-08-01,80,43,99,80.81
2021-01-01,2024-09-01,64,44,99,64.65
2021-01-01,2024-10-01,73,45,99,73.74
2021-01-01,2024-11-01,77,46,99,77.78
2021-01-01,2024-12-01,79,47,99,79.8
2021-01-01,2025-01-01,90,48,99,90.91
2021-01-01,2025-02-01,86,49,99,86.87
2021-01-01,2025-03-01,91,50,99,91.92
2021-01-01,2025-04-01,71,51,99,71.72
2021-01-01,2025-05-01,86,52,99,86.87
2021-01-01,2025-06-01,84,53,99,84.85
2021-01-01,2025-07-01,83,54,99,83.84
2021-01-01,2025-08-01,83,55,99,83.84
2021-01-01,2025-09-01,71,56,99,71.72
2021-01-01,2025-10-01,77,57,99,77.78
2021-02-01,2021-02-01,35,0,66,53.03
2021-02-01,2021-03-01,49,1,66,74.24
2021-02-01,2021-04-01,54,2,66,81.82
2021-02-01,2021-05-01,60,3,66,90.91
2021-02-01,2021-06-01,54,4,66,81.82
2021-02-01,2021-07-01,57,5,66,86.36
2021-02-01,2021-08-01,52,6,66,78.79
2021-02-01,2021-09-01,44,7,66,66.67
2021-02-01,2021-10-01,47,8,66,71.21
2021-02-01,2021-11-01,52,9,66,78.79
2021-02-01,2021-12-01,51,10,66,77.27
2021-02-01,2022-01-01,58,11,66,87.88
2021-02-01,2022-02-01,56,12,66,84.85
2021-02-01,2022-03-01,49,13,66,74.24
2021-02-01,2022-04-01,51,14,66,77.27
2021-02-01,2022-05-01,55,15,66,83.33
2021-02-01,2022-06-01,53,16,66,80.3
2021-02-01,2022-07-01,55,17,66,83.33
2021-02-01,2022-08-01,47,18,66,71.21
2021-02-01,2022-09-01,44,19,66,66.67
2021-02-01,2022-10-01,57,20,66,86.36
2021-02-01,2022-11-01,55,21,66,83.33
2021-02-01,2022-12-01,55,22,66,83.33
2021-02-01,2023-01-01,62,23,66,93.94
2021-02-01,2023-02-01,51,24,66,77.27
2021-02-01,2023-03-01,54,25,66,81.82
2021-02-01,2023-04-01,53,26,66,80.3
2021-02-01,2023-05-01,61,27,66,92.42
2021-02-01,2023-06-01,54,28,66,81.82
2021-02-01,2023-07-01,58,29,66,87.88
2021-02-01,2023-08-01,51,30,66,77.27
2021-02-01,2023-09-01,52,31,66,78.79
2021-02-01,2023-10-01,42,32,66,63.64
2021-02-01,2023-11-01,52,33,66,78.79
2021-02-01,2023-12-01,51,34,66,77.27
2021-02-01,2024-01-01,63,35,66,95.45
2021-02-01,2024-02-01,57,36,66,86.36
2021-02-01,2024-03-01,54,37,66,81.82
2021-02-01,2024-04-01,53,38,66,80.3
2021-02-01,2024-05-01,57,39,66,86.36
2021-02-01,2024-06-01,48,40,66,72.73
2021-02-01,2024-07-01,50,41,66,75.76
2021-02-01,2024-08-01,52,42,66,78.79
2021-02-01,2024-09-01,43,43,66,65.15
2021-02-01,2024-10-01,48,44,66,72.73
2021-02-01,2024-11-01,44,45,66,66.67
2021-02-01,2024-12-01,49,46,66,74.24
2021-02-01,2025-01-01,60,47,66,90.91
2021-02-01,2025-02-01,54,48,66,81.82
2021-02-01,2025-03-01,53,49,66,80.3
2021-02-01,2025-04-01,48,50,66,72.73
2021-02-01,2025-05-01,56,51,66,84.85
2021-02-01,2025-06-01,52,52,66,78.79
2021-02-01,2025-07-01,57,53,66,86.36
2021-02-01,2025-08-01,52,54,66,78.79
2021-02-01,2025-09-01,45,55,66,68.18
2021-02-01,2025-10-01,42,56,66,63.64
2021-03-01,2021-03-01,41,0,94,43.62
2021-03-01,2021-04-01,77,1,94,81.91
2021-03-01,2021-05-01,85,2,94,90.43
2021-03-01,2021-06-01,77,3,94,81.91
2021-03-01,2021-07-01,71,4,94,75.53
2021-03-01,2021-08-01,79,5,94,84.04
2021-03-01,2021-09-01,58,6,94,61.7
2021-03-01,2021-10-01,63,7,94,67.02
2021-03-01,2021-11-01,64,8,94,68.09
2021-03-01,2021-12-01,71,9,94,75.53
2021-03-01,2022-01-01,85,10,94,90.43
2021-03-01,2022-02-01,81,11,94,86.17
2021-03-01,2022-03-01,67,12,94,71.28
2021-03-01,2022-04-01,78,13,94,82.98
2021-03-01,2022-05-01,83,14,94,88.3
2021-03-01,2022-06-01,79,15,94,84.04
2021-03-01,2022-07-01,85,16,94,90.43
2021-03-01,2022-08-01,80,17,94,85.11
2021-03-01,2022-09-01,72,18,94,76.6
2021-03-01,2022-10-01,63,19,94,67.02
2021-03-01,2022-11-01,65,20,94,69.15
2021-03-01,2022-12-01,78,21,94,82.98
2021-03-01,2023-01-01,86,22,94,91.49
2021-03-01,2023-02-01,80,23,94,85.11
2021-03-01,2023-03-01,66,24,94,70.21
2021-03-01,2023-04-01,74,25,94,78.72
2021-03-01,2023-05-01,79,26,94,84.04
2021-03-01,2023-06-01,84,27,94,89.36
2021-03-01,2023-07-01,80,28,94,85.11
2021-03-01,2023-08-01,77,29,94,81.91
2021-03-01,2023-09-01,72,30,94,76.6
2021-03-01,2023-10-01,66,31,94,70.21
2021-03-01,2023-11-01,69,32,94,73.4
2021-03-01,2023-12-01,71,33,94,75.53
2021-03-01,2024-01-01,87,34,94,92.55
2021-03-01,2024-02-01,81,35,94,86.17
2021-03-01,2024-03-01,69,36,94,73.4
2021-03-01,2024-04-01,67,37,94,71.28
2021-03-01,2024-05-01,80,38,94,85.11
2021-03-01,2024-06-01,78,39,94,82.98
2021-03-01,2024-07-01,74,40,94,78.72
2021-03-01,2024-08-01,76,41,94,80.85
2021-03-01,2024-09-01,65,42,94,69.15
2021-03-01,2024-10-01,70,43,94,74.47
2021-03-01,2024-11-01,60,44,94,63.83
2021-03-01,2024-12-01,78,45,94,82.98
2021-03-01,2025-01-01,84,46,94,89.36
2021-03-01,2025-02-01,80,47,94,85.11
2021-03-01,2025-03-01,80,48,94,85.11
2021-03-01,2025-04-01,73,49,94,77.66
2021-03-01,2025-05-01,84,50,94,89.36
2021-03-01,2025-06-01,82,51,94,87.23
2021-03-01,2025-07-01,73,52,94,77.66
2021-03-01,2025-08-01,74,53,94,78.72
2021-03-01,2025-09-01,64,54,94,68.09
2021-03-01,2025-10-01,64,55,94,68.09
2021-04-01,2021-04-01,45,0,85,52.94
2021-04-01,2021-05-01,76,1,85,89.41
2021-04-01,2021-06-01,71,2,85,83.53
2021-04-01,2021-07-01,68,3,85,80.0
2021-04-01,2021-08-01,70,4,85,82.35
2021-04-01,2021-09-01,63,5,85,74.12
2021-04-01,2021-10-01,54,6,85,63.53
2021-04-01,2021-11-01,56,7,85,65.88
2021-04-01,2021-12-01,66,8,85,77.65
2021-04-01,2022-01-01,77,9,85,90.59
2021-04-01,2022-02-01,69,10,85,81.18
2021-04-01,2022-03-01,57,11,85,67.06
2021-04-01,2022-04-01,71,12,85,83.53
