revenue_month,monthly_revenue,running_total_revenue
2021-01-01,1980351.56,1980351.56
2021-02-01,1985618.84,3965970.4
2021-03-01,830789.51,4796759.91
2021-04-01,1205290.58,6002050.49
2021-05-01,1714872.08,7716922.57
2021-06-01,1102477.8,8819400.37
2021-07-01,1593672.52,10413072.89
2021-08-01,1534914.44,11947987.33
2021-09-01,743017.49,12691004.82
2021-10-01,747330.34,13438335.16
2021-11-01,880963.22,14319298.38
2021-12-01,1010810.32,15330108.7
2022-01-01,1975953.25,17306061.95
2022-02-01,1670850.7,18976912.65
2022-03-01,744344.15,19721256.8
2022-04-01,1496533.15,21217789.95
2022-05-01,1272792.37,22490582.32
2022-06-01,1048352.74,23538935.06
2022-07-01,1551068.96,25090004.02
2022-08-01,1597754.29,26687758.31
2022-09-01,762643.7,27450402.01
2022-10-01,832061.6,28282463.61
2022-11-01,802755.82,29085219.43
2022-12-01,1147061.74,30232281.17
2023-01-01,2014743.23,32247024.4
2023-02-01,1655498.63,33902523.03
2023-03-01,995092.53,34897615.56
2023-04-01,1396571.09,36294186.65
2023-05-01,1114145.99,37408332.64
2023-06-01,1124551.58,38532884.22
2023-07-01,1401382.51,39934266.73
2023-08-01,1452965.16,41387231.89
2023-09-01,722727.15,42109959.04
2023-10-01,804104.01,42914063.05
2023-11-01,794452.48,43708515.53
2023-12-01,1099262.64,44807778.17
2024-01-01,2189798.22,46997576.39
2024-02-01,1812338.73,48809915.12
2024-03-01,1330568.12,50140483.24
2024-04-01,1200399.59,51340882.83
2024-05-01,1127492.38,52468375.21
2024-06-01,1176750.56,53645125.77
2024-07-01,1571128.5,55216254.27
2024-08-01,1553432.88,56769687.15
2024-09-01,755062.64,57524749.79
2024-10-01,802670.08,58327419.87
2024-11-01,807986.92,59135406.79
2024-12-01,1013633.57,60149040.36
2025-01-01,2021715.49,62170755.85
2025-02-01,1744411.75,63915167.6
2025-03-01,1583167.34,65498334.94
2025-04-01,743263.66,66241598.6
2025-05-01,1137914.61,67379513.21
2025-06-01,1210872.99,68590386.2
2025-07-01,1526375.88,70116762.08
2025-08-01,1575600.69,71692362.77
2025-09-01,751052.06,72443414.83
2025-10-01,771516.47,73214931.3
